::1 - - [05/Sep/2019:19:13:14 -0300] "GET /phpmyadmin/ HTTP/1.1" 200 8024
::1 - - [05/Sep/2019:19:13:19 -0300] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=8f88a5f3f6fa6fe06dbd9f7dd95ae060&nocache=4668183971ltr HTTP/1.1" 200 88608
::1 - - [05/Sep/2019:19:13:19 -0300] "GET /phpmyadmin/js/messages.php?lang=pt&db=&server=0&token=edf4ef579d5a95b37272a2e14789f82a HTTP/1.1" 200 18103
::1 - - [05/Sep/2019:19:13:19 -0300] "GET /phpmyadmin/js/get_image.js.php?theme=pmahomme HTTP/1.1" 200 6263
::1 - - [05/Sep/2019:19:13:19 -0300] "GET /phpmyadmin/js/get_scripts.js.php?scripts[]=jquery/jquery-1.8.3.js&scripts[]=ajax.js&scripts[]=keyhandler.js&scripts[]=jquery/jquery-ui-1.9.2.custom.js&scripts[]=jquery/jquery.sprintf.js&scripts[]=jquery/jquery.cookie.js&scripts[]=jquery/jquery.mousewheel.js&scripts[]=jquery/jquery.event.drag-2.2.js&scripts[]=jquery/jquery-ui-timepicker-addon.js&scripts[]=jquery/jquery.ba-hashchange-1.3.js&scripts[]=jquery/jquery.debounce-1.0.5.js&scripts[]=jquery/jquery.menuResizer-1.0.js&scripts[]=rte.js&scripts[]=functions.js&scripts[]=navigation.js&scripts[]=indexes.js&scripts[]=common.js&scripts[]=codemirror/lib/codemirror.js&scripts[]=codemirror/mode/mysql/mysql.js HTTP/1.1" 200 578562
::1 - - [05/Sep/2019:19:13:27 -0300] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [05/Sep/2019:19:13:27 -0300] "GET /phpmyadmin/index.php?token=8f88a5f3f6fa6fe06dbd9f7dd95ae060 HTTP/1.1" 200 49588
::1 - - [05/Sep/2019:19:13:28 -0300] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=8f88a5f3f6fa6fe06dbd9f7dd95ae060&nocache=6235905578ltr HTTP/1.1" 200 88608
::1 - - [05/Sep/2019:19:13:28 -0300] "GET /phpmyadmin/js/messages.php?lang=pt&db=&server=0&token=8f88a5f3f6fa6fe06dbd9f7dd95ae060 HTTP/1.1" 200 18103
::1 - - [05/Sep/2019:19:13:28 -0300] "GET /phpmyadmin/version_check.php?&_nocache=1567721608656145395 HTTP/1.1" 200 41
::1 - - [05/Sep/2019:19:13:35 -0300] "GET /phpmyadmin/navigation.php?ajax_request=1&token=8f88a5f3f6fa6fe06dbd9f7dd95ae060&aPath=cm9vdA%3D%3D.c2l0ZV9leGVtcGxv&vPath=cm9vdA%3D%3D.c2l0ZV9leGVtcGxv&pos=0&pos2_name=&pos2_value=&searchClause=&searchClause2=&_nocache=1567721615465640394 HTTP/1.1" 200 4590
::1 - - [05/Sep/2019:19:15:17 -0300] "GET /site-exemplo/admin/index.php HTTP/1.1" 302 160
::1 - - [05/Sep/2019:19:15:17 -0300] "GET / HTTP/1.1" 200 80256
::1 - - [05/Sep/2019:19:15:17 -0300] "GET /site-exemplo/admin/login.php?erro=Usu%C3%A1rio%20n%C3%A3o%20autorizado!!! HTTP/1.1" 200 2711
::1 - - [05/Sep/2019:19:15:18 -0300] "GET /site-exemplo/admin/css/signin.css HTTP/1.1" 304 -
::1 - - [05/Sep/2019:19:15:18 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [05/Sep/2019:19:15:25 -0300] "POST /site-exemplo/admin/login_action.php HTTP/1.1" 302 -
::1 - - [05/Sep/2019:19:15:25 -0300] "GET /site-exemplo/admin/index.php HTTP/1.1" 200 10285
::1 - - [05/Sep/2019:19:15:25 -0300] "GET /site-exemplo/admin/js/dashboard.js HTTP/1.1" 304 -
::1 - - [05/Sep/2019:19:15:25 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:25 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:32 -0300] "GET /site-exemplo/admin/portifolio_lista.php HTTP/1.1" 200 7575
::1 - - [05/Sep/2019:19:15:32 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:32 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:34 -0300] "GET /site-exemplo/admin/contatos_lista.php HTTP/1.1" 200 8487
::1 - - [05/Sep/2019:19:15:34 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:34 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:58 -0300] "GET /site-exemplo/admin/categoria_lista.php HTTP/1.1" 200 7886
::1 - - [05/Sep/2019:19:15:58 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:15:58 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:01 -0300] "GET /site-exemplo/admin/categoria_form.php?id=2 HTTP/1.1" 200 6597
::1 - - [05/Sep/2019:19:16:01 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:01 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:05 -0300] "POST /site-exemplo/admin/categoria_acao.php HTTP/1.1" 302 -
::1 - - [05/Sep/2019:19:16:05 -0300] "GET /site-exemplo/admin/categoria_lista.php HTTP/1.1" 200 7894
::1 - - [05/Sep/2019:19:16:05 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:05 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:09 -0300] "GET /site-exemplo/admin/categoria_form.php HTTP/1.1" 200 6570
::1 - - [05/Sep/2019:19:16:09 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:09 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:23 -0300] "POST /site-exemplo/admin/categoria_acao.php HTTP/1.1" 302 -
::1 - - [05/Sep/2019:19:16:23 -0300] "GET /site-exemplo/admin/categoria_lista.php HTTP/1.1" 200 8034
::1 - - [05/Sep/2019:19:16:23 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:23 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:27 -0300] "GET /site-exemplo/admin/usuario_lista.php HTTP/1.1" 200 7037
::1 - - [05/Sep/2019:19:16:27 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:27 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:31 -0300] "GET /site-exemplo/admin/usuario_form.php HTTP/1.1" 200 6742
::1 - - [05/Sep/2019:19:16:31 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:31 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:50 -0300] "POST /site-exemplo/admin/usuario_acao.php HTTP/1.1" 302 -
::1 - - [05/Sep/2019:19:16:50 -0300] "GET /site-exemplo/admin/usuario_lista.php HTTP/1.1" 200 7294
::1 - - [05/Sep/2019:19:16:50 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:16:50 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
::1 - - [05/Sep/2019:19:17:00 -0300] "GET /site-exemplo/admin/usuario_form.php?id=3 HTTP/1.1" 200 6788
::1 - - [05/Sep/2019:19:17:00 -0300] "GET /docs/4.3/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 238
